Abbreviation,FullName,TeamName,Position,GridPosition,Points,Status,Season,Round,RaceName
GAS,Pierre Gasly,AlphaTauri,1.0,10.0,25.0,Finished,2020,8,Race
SAI,Carlos Sainz,McLaren,2.0,3.0,18.0,Finished,2020,8,Race
STR,Lance Stroll,Racing Point,3.0,8.0,15.0,Finished,2020,8,Race
NOR,Lando Norris,McLaren,4.0,6.0,12.0,Finished,2020,8,Race
BOT,Valtteri Bottas,Mercedes,5.0,2.0,10.0,Finished,2020,8,Race
RIC,Daniel Ricciardo,Renault,6.0,7.0,8.0,Finished,2020,8,Race
HAM,Lewis Hamilton,Mercedes,7.0,1.0,7.0,Finished,2020,8,Race
OCO,Esteban Ocon,Renault,8.0,12.0,4.0,Finished,2020,8,Race
KVY,Daniil Kvyat,AlphaTauri,9.0,11.0,2.0,Finished,2020,8,Race
PER,Sergio Perez,Racing Point,10.0,4.0,1.0,Finished,2020,8,Race
LAT,Nicholas Latifi,Williams,11.0,20.0,0.0,Finished,2020,8,Race
GRO,Romain Grosjean,Haas F1 Team,12.0,16.0,0.0,Finished,2020,8,Race
RAI,Kimi Räikkönen,Alfa Romeo Racing,13.0,14.0,0.0,Finished,2020,8,Race
RUS,George Russell,Williams,14.0,19.0,0.0,Finished,2020,8,Race
ALB,Alexander Albon,Red Bull Racing,15.0,9.0,0.0,Finished,2020,8,Race
GIO,Antonio Giovinazzi,Alfa Romeo Racing,16.0,18.0,0.0,Finished,2020,8,Race
VER,Max Verstappen,Red Bull Racing,17.0,5.0,0.0,Power Unit,2020,8,Race
LEC,Charles Leclerc,Ferrari,18.0,13.0,0.0,Accident,2020,8,Race
MAG,Kevin Magnussen,Haas F1 Team,19.0,15.0,0.0,Power Unit,2020,8,Race
VET,Sebastian Vettel,Ferrari,20.0,17.0,0.0,Brakes,2020,8,Race
