Abbreviation,FullName,TeamName,Position,GridPosition,Points,Status,Season,Round,RaceName
HAM,Lewis Hamilton,Mercedes,1.0,1.0,25.0,Finished,2020,4,Race
VER,Max Verstappen,Red Bull Racing,2.0,3.0,19.0,Finished,2020,4,Race
LEC,Charles Leclerc,Ferrari,3.0,4.0,15.0,Finished,2020,4,Race
RIC,Daniel Ricciardo,Renault,4.0,8.0,12.0,Finished,2020,4,Race
NOR,Lando Norris,McLaren,5.0,5.0,10.0,Finished,2020,4,Race
OCO,Esteban Ocon,Renault,6.0,9.0,8.0,Finished,2020,4,Race
GAS,Pierre Gasly,AlphaTauri,7.0,11.0,6.0,Finished,2020,4,Race
ALB,Alexander Albon,Red Bull Racing,8.0,12.0,4.0,Finished,2020,4,Race
STR,Lance Stroll,Racing Point,9.0,6.0,2.0,Finished,2020,4,Race
VET,Sebastian Vettel,Ferrari,10.0,10.0,1.0,Finished,2020,4,Race
BOT,Valtteri Bottas,Mercedes,11.0,2.0,0.0,Finished,2020,4,Race
RUS,George Russell,Williams,12.0,20.0,0.0,Finished,2020,4,Race
SAI,Carlos Sainz,McLaren,13.0,7.0,0.0,Finished,2020,4,Race
GIO,Antonio Giovinazzi,Alfa Romeo Racing,14.0,15.0,0.0,Finished,2020,4,Race
LAT,Nicholas Latifi,Williams,15.0,18.0,0.0,Finished,2020,4,Race
GRO,Romain Grosjean,Haas F1 Team,16.0,17.0,0.0,Finished,2020,4,Race
RAI,Kimi Räikkönen,Alfa Romeo Racing,17.0,16.0,0.0,+1 Lap,2020,4,Race
KVY,Daniil Kvyat,AlphaTauri,18.0,19.0,0.0,Accident,2020,4,Race
MAG,Kevin Magnussen,Haas F1 Team,19.0,14.0,0.0,Collision,2020,4,Race
HUL,Nico Hulkenberg,Racing Point,20.0,13.0,0.0,Power Unit,2020,4,Race
