Abbreviation,FullName,TeamName,Position,GridPosition,Points,Status,Season,Round,RaceName
VER,Max Verstappen,Red Bull Racing,1.0,1.0,25.0,Finished,2020,17,Race
BOT,Valtteri Bottas,Mercedes,2.0,2.0,18.0,Finished,2020,17,Race
HAM,Lewis Hamilton,Mercedes,3.0,3.0,15.0,Finished,2020,17,Race
ALB,Alexander Albon,Red Bull Racing,4.0,5.0,12.0,Finished,2020,17,Race
NOR,Lando Norris,McLaren,5.0,4.0,10.0,Finished,2020,17,Race
SAI,Carlos Sainz,McLaren,6.0,6.0,8.0,Finished,2020,17,Race
RIC,Daniel Ricciardo,Renault,7.0,11.0,7.0,Finished,2020,17,Race
GAS,Pierre Gasly,AlphaTauri,8.0,9.0,4.0,Finished,2020,17,Race
OCO,Esteban Ocon,Renault,9.0,10.0,2.0,Finished,2020,17,Race
STR,Lance Stroll,Racing Point,10.0,8.0,1.0,Finished,2020,17,Race
KVY,Daniil Kvyat,AlphaTauri,11.0,7.0,0.0,+1 Lap,2020,17,Race
RAI,Kimi Räikkönen,Alfa Romeo Racing,12.0,15.0,0.0,+1 Lap,2020,17,Race
LEC,Charles Leclerc,Ferrari,13.0,12.0,0.0,+1 Lap,2020,17,Race
VET,Sebastian Vettel,Ferrari,14.0,13.0,0.0,+1 Lap,2020,17,Race
RUS,George Russell,Williams,15.0,16.0,0.0,+1 Lap,2020,17,Race
GIO,Antonio Giovinazzi,Alfa Romeo Racing,16.0,14.0,0.0,+1 Lap,2020,17,Race
LAT,Nicholas Latifi,Williams,17.0,18.0,0.0,+1 Lap,2020,17,Race
MAG,Kevin Magnussen,Haas F1 Team,18.0,20.0,0.0,+1 Lap,2020,17,Race
FIT,Pietro Fittipaldi,Haas F1 Team,19.0,17.0,0.0,+2 Laps,2020,17,Race
PER,Sergio Perez,Racing Point,20.0,19.0,0.0,Transmission,2020,17,Race
