Abbreviation,FullName,TeamName,Position,GridPosition,Points,Status,Season,Round,RaceName
BOT,Valtteri Bottas,Mercedes,1.0,1.0,25.0,Finished,2020,1,Race
LEC,Charles Leclerc,Ferrari,2.0,7.0,18.0,Finished,2020,1,Race
NOR,Lando Norris,McLaren,3.0,3.0,16.0,Finished,2020,1,Race
HAM,Lewis Hamilton,Mercedes,4.0,5.0,12.0,Finished,2020,1,Race
SAI,Carlos Sainz,McLaren,5.0,8.0,10.0,Finished,2020,1,Race
PER,Sergio Perez,Racing Point,6.0,6.0,8.0,Finished,2020,1,Race
GAS,Pierre Gasly,AlphaTauri,7.0,12.0,6.0,Finished,2020,1,Race
OCO,Esteban Ocon,Renault,8.0,14.0,4.0,Finished,2020,1,Race
GIO,Antonio Giovinazzi,Alfa Romeo Racing,9.0,18.0,2.0,Finished,2020,1,Race
VET,Sebastian Vettel,Ferrari,10.0,11.0,1.0,Finished,2020,1,Race
LAT,Nicholas Latifi,Williams,11.0,20.0,0.0,Finished,2020,1,Race
KVY,Daniil Kvyat,AlphaTauri,12.0,13.0,0.0,Suspension,2020,1,Race
ALB,Alexander Albon,Red Bull Racing,13.0,4.0,0.0,Electronics,2020,1,Race
RAI,Kimi Räikkönen,Alfa Romeo Racing,14.0,19.0,0.0,Wheel,2020,1,Race
RUS,George Russell,Williams,15.0,17.0,0.0,Fuel pressure,2020,1,Race
GRO,Romain Grosjean,Haas F1 Team,16.0,15.0,0.0,Brakes,2020,1,Race
MAG,Kevin Magnussen,Haas F1 Team,17.0,16.0,0.0,Brakes,2020,1,Race
STR,Lance Stroll,Racing Point,18.0,9.0,0.0,Engine,2020,1,Race
RIC,Daniel Ricciardo,Renault,19.0,10.0,0.0,Overheating,2020,1,Race
VER,Max Verstappen,Red Bull Racing,20.0,2.0,0.0,Electronics,2020,1,Race
