Abbreviation,FullName,TeamName,Position,GridPosition,Points,Status,Season,Round,RaceName
HAM,Lewis Hamilton,Mercedes,1.0,4.0,25.0,Finished,2021,15,Race
VER,Max Verstappen,Red Bull Racing,2.0,20.0,18.0,Finished,2021,15,Race
SAI,Carlos Sainz,Ferrari,3.0,2.0,15.0,Finished,2021,15,Race
RIC,Daniel Ricciardo,McLaren,4.0,5.0,12.0,Finished,2021,15,Race
BOT,Valtteri Bottas,Mercedes,5.0,16.0,10.0,Finished,2021,15,Race
ALO,Fernando Alonso,Alpine,6.0,6.0,8.0,Finished,2021,15,Race
NOR,Lando Norris,McLaren,7.0,1.0,7.0,Finished,2021,15,Race
RAI,Kimi Räikkönen,Alfa Romeo Racing,8.0,13.0,4.0,Finished,2021,15,Race
PER,Sergio Perez,Red Bull Racing,9.0,8.0,2.0,Finished,2021,15,Race
RUS,George Russell,Williams,10.0,3.0,1.0,Finished,2021,15,Race
STR,Lance Stroll,Aston Martin,11.0,7.0,0.0,Finished,2021,15,Race
VET,Sebastian Vettel,Aston Martin,12.0,10.0,0.0,+1 Lap,2021,15,Race
GAS,Pierre Gasly,AlphaTauri,13.0,11.0,0.0,+1 Lap,2021,15,Race
OCO,Esteban Ocon,Alpine,14.0,9.0,0.0,+1 Lap,2021,15,Race
LEC,Charles Leclerc,Ferrari,15.0,19.0,0.0,+1 Lap,2021,15,Race
GIO,Antonio Giovinazzi,Alfa Romeo Racing,16.0,17.0,0.0,+1 Lap,2021,15,Race
TSU,Yuki Tsunoda,AlphaTauri,17.0,12.0,0.0,+1 Lap,2021,15,Race
MAZ,Nikita Mazepin,Haas F1 Team,18.0,15.0,0.0,+2 Laps,2021,15,Race
LAT,Nicholas Latifi,Williams,19.0,18.0,0.0,Accident,2021,15,Race
MSC,Mick Schumacher,Haas F1 Team,20.0,14.0,0.0,Oil leak,2021,15,Race
