Abbreviation,FullName,TeamName,Position,GridPosition,Points,Status,Season,Round,RaceName
VER,Max Verstappen,Red Bull Racing,1.0,1.0,26.0,Finished,2021,9,Race
BOT,Valtteri Bottas,Mercedes,2.0,5.0,18.0,Finished,2021,9,Race
NOR,Lando Norris,McLaren,3.0,2.0,15.0,Finished,2021,9,Race
HAM,Lewis Hamilton,Mercedes,4.0,4.0,12.0,Finished,2021,9,Race
SAI,Carlos Sainz,Ferrari,5.0,10.0,10.0,Finished,2021,9,Race
PER,Sergio Perez,Red Bull Racing,6.0,3.0,8.0,Finished,2021,9,Race
RIC,Daniel Ricciardo,McLaren,7.0,13.0,6.0,Finished,2021,9,Race
LEC,Charles Leclerc,Ferrari,8.0,12.0,4.0,Finished,2021,9,Race
GAS,Pierre Gasly,AlphaTauri,9.0,6.0,2.0,Finished,2021,9,Race
ALO,Fernando Alonso,Alpine,10.0,14.0,1.0,+1 Lap,2021,9,Race
RUS,George Russell,Williams,11.0,8.0,0.0,+1 Lap,2021,9,Race
TSU,Yuki Tsunoda,AlphaTauri,12.0,7.0,0.0,+1 Lap,2021,9,Race
STR,Lance Stroll,Aston Martin,13.0,9.0,0.0,+1 Lap,2021,9,Race
GIO,Antonio Giovinazzi,Alfa Romeo Racing,14.0,15.0,0.0,+1 Lap,2021,9,Race
RAI,Kimi Räikkönen,Alfa Romeo Racing,15.0,16.0,0.0,+1 Lap,2021,9,Race
LAT,Nicholas Latifi,Williams,16.0,18.0,0.0,+1 Lap,2021,9,Race
VET,Sebastian Vettel,Aston Martin,17.0,11.0,0.0,Collision,2021,9,Race
MSC,Mick Schumacher,Haas F1 Team,18.0,19.0,0.0,+2 Laps,2021,9,Race
MAZ,Nikita Mazepin,Haas F1 Team,19.0,20.0,0.0,+2 Laps,2021,9,Race
OCO,Esteban Ocon,Alpine,20.0,17.0,0.0,Collision,2021,9,Race
