Abbreviation,FullName,TeamName,Position,GridPosition,Points,Status,Season,Round,RaceName
VER,Max Verstappen,Red Bull Racing,1.0,1.0,25.0,Finished,2021,17,Race
HAM,Lewis Hamilton,Mercedes,2.0,2.0,19.0,Finished,2021,17,Race
PER,Sergio Perez,Red Bull Racing,3.0,3.0,15.0,Finished,2021,17,Race
LEC,Charles Leclerc,Ferrari,4.0,4.0,12.0,Finished,2021,17,Race
RIC,Daniel Ricciardo,McLaren,5.0,6.0,10.0,Finished,2021,17,Race
BOT,Valtteri Bottas,Mercedes,6.0,9.0,8.0,Finished,2021,17,Race
SAI,Carlos Sainz,Ferrari,7.0,5.0,6.0,Finished,2021,17,Race
NOR,Lando Norris,McLaren,8.0,7.0,4.0,Finished,2021,17,Race
TSU,Yuki Tsunoda,AlphaTauri,9.0,10.0,2.0,+1 Lap,2021,17,Race
VET,Sebastian Vettel,Aston Martin,10.0,18.0,1.0,+1 Lap,2021,17,Race
GIO,Antonio Giovinazzi,Alfa Romeo Racing,11.0,12.0,0.0,+1 Lap,2021,17,Race
STR,Lance Stroll,Aston Martin,12.0,13.0,0.0,+1 Lap,2021,17,Race
RAI,Kimi Räikkönen,Alfa Romeo Racing,13.0,15.0,0.0,+1 Lap,2021,17,Race
RUS,George Russell,Williams,14.0,20.0,0.0,+1 Lap,2021,17,Race
LAT,Nicholas Latifi,Williams,15.0,14.0,0.0,+1 Lap,2021,17,Race
MSC,Mick Schumacher,Haas F1 Team,16.0,16.0,0.0,+2 Laps,2021,17,Race
MAZ,Nikita Mazepin,Haas F1 Team,17.0,17.0,0.0,+2 Laps,2021,17,Race
ALO,Fernando Alonso,Alpine,18.0,19.0,0.0,Rear wing,2021,17,Race
OCO,Esteban Ocon,Alpine,19.0,11.0,0.0,Mechanical,2021,17,Race
GAS,Pierre Gasly,AlphaTauri,20.0,8.0,0.0,Suspension,2021,17,Race
