Abbreviation,FullName,TeamName,Position,GridPosition,Points,Status,Season,Round,RaceName
BOT,Valtteri Bottas,Mercedes,1.0,3.0,26.0,Finished,2020,10,Race
VER,Max Verstappen,Red Bull Racing,2.0,2.0,18.0,Finished,2020,10,Race
HAM,Lewis Hamilton,Mercedes,3.0,1.0,15.0,Finished,2020,10,Race
PER,Sergio Perez,Racing Point,4.0,4.0,12.0,Finished,2020,10,Race
RIC,Daniel Ricciardo,Renault,5.0,5.0,10.0,Finished,2020,10,Race
LEC,Charles Leclerc,Ferrari,6.0,10.0,8.0,Finished,2020,10,Race
OCO,Esteban Ocon,Renault,7.0,7.0,6.0,Finished,2020,10,Race
KVY,Daniil Kvyat,AlphaTauri,8.0,11.0,4.0,Finished,2020,10,Race
GAS,Pierre Gasly,AlphaTauri,9.0,9.0,2.0,Finished,2020,10,Race
ALB,Alexander Albon,Red Bull Racing,10.0,15.0,1.0,Finished,2020,10,Race
GIO,Antonio Giovinazzi,Alfa Romeo Racing,11.0,17.0,0.0,+1 Lap,2020,10,Race
MAG,Kevin Magnussen,Haas F1 Team,12.0,18.0,0.0,+1 Lap,2020,10,Race
VET,Sebastian Vettel,Ferrari,13.0,14.0,0.0,+1 Lap,2020,10,Race
RAI,Kimi Räikkönen,Alfa Romeo Racing,14.0,19.0,0.0,+1 Lap,2020,10,Race
NOR,Lando Norris,McLaren,15.0,8.0,0.0,+1 Lap,2020,10,Race
LAT,Nicholas Latifi,Williams,16.0,20.0,0.0,+1 Lap,2020,10,Race
GRO,Romain Grosjean,Haas F1 Team,17.0,16.0,0.0,+1 Lap,2020,10,Race
RUS,George Russell,Williams,18.0,13.0,0.0,+1 Lap,2020,10,Race
SAI,Carlos Sainz,McLaren,19.0,6.0,0.0,Accident,2020,10,Race
STR,Lance Stroll,Racing Point,20.0,12.0,0.0,Collision,2020,10,Race
