Abbreviation,FullName,TeamName,Position,GridPosition,Points,Status,Season,Round,RaceName
HAM,Lewis Hamilton,Mercedes,1.0,2.0,25.0,Finished,2020,11,Race
VER,Max Verstappen,Red Bull Racing,2.0,3.0,19.0,Finished,2020,11,Race
RIC,Daniel Ricciardo,Renault,3.0,6.0,15.0,Finished,2020,11,Race
PER,Sergio Perez,Racing Point,4.0,9.0,12.0,Finished,2020,11,Race
SAI,Carlos Sainz,McLaren,5.0,10.0,10.0,Finished,2020,11,Race
GAS,Pierre Gasly,AlphaTauri,6.0,12.0,8.0,Finished,2020,11,Race
LEC,Charles Leclerc,Ferrari,7.0,4.0,6.0,Finished,2020,11,Race
HUL,Nico Hulkenberg,Racing Point,8.0,20.0,4.0,Finished,2020,11,Race
GRO,Romain Grosjean,Haas F1 Team,9.0,16.0,2.0,Finished,2020,11,Race
GIO,Antonio Giovinazzi,Alfa Romeo Racing,10.0,14.0,1.0,Finished,2020,11,Race
VET,Sebastian Vettel,Ferrari,11.0,11.0,0.0,Finished,2020,11,Race
RAI,Kimi Räikkönen,Alfa Romeo Racing,12.0,19.0,0.0,Finished,2020,11,Race
MAG,Kevin Magnussen,Haas F1 Team,13.0,15.0,0.0,Finished,2020,11,Race
LAT,Nicholas Latifi,Williams,14.0,18.0,0.0,Finished,2020,11,Race
KVY,Daniil Kvyat,AlphaTauri,15.0,13.0,0.0,Finished,2020,11,Race
NOR,Lando Norris,McLaren,16.0,8.0,0.0,Power Unit,2020,11,Race
ALB,Alexander Albon,Red Bull Racing,17.0,5.0,0.0,Radiator,2020,11,Race
OCO,Esteban Ocon,Renault,18.0,7.0,0.0,Gearbox,2020,11,Race
BOT,Valtteri Bottas,Mercedes,19.0,1.0,0.0,Power Unit,2020,11,Race
RUS,George Russell,Williams,20.0,17.0,0.0,Collision,2020,11,Race
