Abbreviation,FullName,TeamName,Position,GridPosition,Points,Status,Season,Round,RaceName
HAM,Lewis Hamilton,Mercedes,1.0,6.0,25.0,Finished,2020,14,Race
PER,Sergio Perez,Racing Point,2.0,3.0,18.0,Finished,2020,14,Race
VET,Sebastian Vettel,Ferrari,3.0,11.0,15.0,Finished,2020,14,Race
LEC,Charles Leclerc,Ferrari,4.0,12.0,12.0,Finished,2020,14,Race
SAI,Carlos Sainz,McLaren,5.0,15.0,10.0,Finished,2020,14,Race
VER,Max Verstappen,Red Bull Racing,6.0,2.0,8.0,Finished,2020,14,Race
ALB,Alexander Albon,Red Bull Racing,7.0,4.0,6.0,Finished,2020,14,Race
NOR,Lando Norris,McLaren,8.0,14.0,5.0,Finished,2020,14,Race
STR,Lance Stroll,Racing Point,9.0,1.0,2.0,Finished,2020,14,Race
RIC,Daniel Ricciardo,Renault,10.0,5.0,1.0,Finished,2020,14,Race
OCO,Esteban Ocon,Renault,11.0,7.0,0.0,+1 Lap,2020,14,Race
KVY,Daniil Kvyat,AlphaTauri,12.0,16.0,0.0,+1 Lap,2020,14,Race
GAS,Pierre Gasly,AlphaTauri,13.0,19.0,0.0,+1 Lap,2020,14,Race
BOT,Valtteri Bottas,Mercedes,14.0,9.0,0.0,+1 Lap,2020,14,Race
RAI,Kimi Räikkönen,Alfa Romeo Racing,15.0,8.0,0.0,+1 Lap,2020,14,Race
RUS,George Russell,Williams,16.0,0.0,0.0,+1 Lap,2020,14,Race
MAG,Kevin Magnussen,Haas F1 Team,17.0,13.0,0.0,Withdrew,2020,14,Race
GRO,Romain Grosjean,Haas F1 Team,18.0,17.0,0.0,Collision damage,2020,14,Race
LAT,Nicholas Latifi,Williams,19.0,0.0,0.0,Collision damage,2020,14,Race
GIO,Antonio Giovinazzi,Alfa Romeo Racing,20.0,10.0,0.0,Gearbox,2020,14,Race
