Abbreviation,FullName,TeamName,Position,GridPosition,Points,Status,Season,Round,RaceName
VER,Max Verstappen,Red Bull Racing,1.0,1.0,26.0,Finished,2021,7,Race
HAM,Lewis Hamilton,Mercedes,2.0,2.0,18.0,Finished,2021,7,Race
PER,Sergio Perez,Red Bull Racing,3.0,4.0,15.0,Finished,2021,7,Race
BOT,Valtteri Bottas,Mercedes,4.0,3.0,12.0,Finished,2021,7,Race
NOR,Lando Norris,McLaren,5.0,8.0,10.0,Finished,2021,7,Race
RIC,Daniel Ricciardo,McLaren,6.0,10.0,8.0,Finished,2021,7,Race
GAS,Pierre Gasly,AlphaTauri,7.0,6.0,6.0,Finished,2021,7,Race
ALO,Fernando Alonso,Alpine,8.0,9.0,4.0,Finished,2021,7,Race
VET,Sebastian Vettel,Aston Martin,9.0,12.0,2.0,Finished,2021,7,Race
STR,Lance Stroll,Aston Martin,10.0,19.0,1.0,Finished,2021,7,Race
SAI,Carlos Sainz,Ferrari,11.0,5.0,0.0,Finished,2021,7,Race
RUS,George Russell,Williams,12.0,14.0,0.0,+1 Lap,2021,7,Race
TSU,Yuki Tsunoda,AlphaTauri,13.0,0.0,0.0,+1 Lap,2021,7,Race
OCO,Esteban Ocon,Alpine,14.0,11.0,0.0,+1 Lap,2021,7,Race
GIO,Antonio Giovinazzi,Alfa Romeo Racing,15.0,13.0,0.0,+1 Lap,2021,7,Race
LEC,Charles Leclerc,Ferrari,16.0,7.0,0.0,+1 Lap,2021,7,Race
RAI,Kimi Räikkönen,Alfa Romeo Racing,17.0,17.0,0.0,+1 Lap,2021,7,Race
LAT,Nicholas Latifi,Williams,18.0,16.0,0.0,+1 Lap,2021,7,Race
MSC,Mick Schumacher,Haas F1 Team,19.0,15.0,0.0,+1 Lap,2021,7,Race
MAZ,Nikita Mazepin,Haas F1 Team,20.0,18.0,0.0,+1 Lap,2021,7,Race
