Abbreviation,FullName,TeamName,Position,GridPosition,Points,Status,Season,Round,RaceName
HAM,Lewis Hamilton,Mercedes,1.0,1.0,26.0,Finished,2020,12,Race
BOT,Valtteri Bottas,Mercedes,2.0,2.0,18.0,Finished,2020,12,Race
VER,Max Verstappen,Red Bull Racing,3.0,3.0,15.0,Finished,2020,12,Race
LEC,Charles Leclerc,Ferrari,4.0,4.0,12.0,Finished,2020,12,Race
GAS,Pierre Gasly,AlphaTauri,5.0,9.0,10.0,+1 Lap,2020,12,Race
SAI,Carlos Sainz,McLaren,6.0,7.0,8.0,+1 Lap,2020,12,Race
PER,Sergio Perez,Racing Point,7.0,5.0,6.0,+1 Lap,2020,12,Race
OCO,Esteban Ocon,Renault,8.0,11.0,4.0,+1 Lap,2020,12,Race
RIC,Daniel Ricciardo,Renault,9.0,10.0,2.0,+1 Lap,2020,12,Race
VET,Sebastian Vettel,Ferrari,10.0,15.0,1.0,+1 Lap,2020,12,Race
RAI,Kimi Räikkönen,Alfa Romeo Racing,11.0,16.0,0.0,+1 Lap,2020,12,Race
ALB,Alexander Albon,Red Bull Racing,12.0,6.0,0.0,+1 Lap,2020,12,Race
NOR,Lando Norris,McLaren,13.0,8.0,0.0,+1 Lap,2020,12,Race
RUS,George Russell,Williams,14.0,14.0,0.0,+1 Lap,2020,12,Race
GIO,Antonio Giovinazzi,Alfa Romeo Racing,15.0,17.0,0.0,+1 Lap,2020,12,Race
MAG,Kevin Magnussen,Haas F1 Team,16.0,19.0,0.0,+1 Lap,2020,12,Race
GRO,Romain Grosjean,Haas F1 Team,17.0,18.0,0.0,+1 Lap,2020,12,Race
LAT,Nicholas Latifi,Williams,18.0,20.0,0.0,+2 Laps,2020,12,Race
KVY,Daniil Kvyat,AlphaTauri,19.0,13.0,0.0,+2 Laps,2020,12,Race
STR,Lance Stroll,Racing Point,20.0,12.0,0.0,Collision damage,2020,12,Race
